Num	X	Y	MyVar
1	4.69529758273469	48.9043355872467	15
2	5.08537749701645	48.8951766557293	12
3	3.64946722976553	48.3874116057996	26
4	5.24846466432791	49.5789302079162	12
5	5.8239494615312	49.4114517648316	7
6	4.9260901818828	49.2018559722152	15
7	4.1804405748068	49.2846659103719	20
8	7.15067191763471	47.523644149187	2
9	3.50848754456577	48.7415363038502	20
10	6.79168147551051	48.9616533056445	7
11	5.05391147740496	49.7317605745823	9
12	6.77418023215917	48.0610119762132	-3
13	5.63587708810034	49.2541781400408	6
14	4.62924617649211	49.1359439378527	15
15	7.15827599385132	47.8097934608813	12
16	5.50459677694986	48.7279092866617	3
17	4.47263767395634	49.797071833862	12
18	7.21336006633161	48.4320257045717	-6
19	5.68162773949249	48.3583116091322	1
20	7.03327579986459	49.022752763005	7
21	6.17337559730125	49.5030314591713	8
22	4.24211988881386	48.7146933137362	20
23	4.53303106905272	48.1568305190885	16
24	6.80874504975509	48.8684676492121	7
25	5.22422442410607	48.8345590267175	10
26	5.51129353756551	49.1935690351141	5
27	5.96522849646863	49.3593695973977	5
28	3.70463666839836	49.1026582364769	16
29	4.23053803915779	48.6876466450437	19
30	4.60205528656176	48.1131454429512	17
31	5.58417390457665	48.5604572364051	3
32	5.08977091793592	49.5160784021718	11
33	4.89271557486306	48.8298085605881	15
34	6.07460328327337	48.4589992448455	4
35	6.22962302617573	49.2031630214769	12
36	6.93093243186983	48.5234770120975	6
37	5.6037975520206	48.025459303637	6
38	3.85780537326355	48.8655653909858	16
39	6.38228537607938	49.3635609749084	9
40	5.07351332336354	47.8475012894099	5
41	4.11793147900607	49.4845184175453	20
42	3.97259072536447	48.9921377160354	17
43	6.67152231221553	47.9299520934389	-1
44	6.73798133727784	48.51931428432	6
45	7.3611613951701	49.0435452267993	1
46	6.5726764361995	48.9368535484731	5
47	5.21473101445008	48.1353272455356	6
48	5.1594571400589	49.5113564250835	9
49	6.87060101974445	48.8060265945193	7
50	7.22203989637395	48.8861807398886	3
51	6.57054335938301	48.9291281757566	8
52	5.40240336787732	48.6947144227646	3
53	5.81422721707107	49.5288637699947	9
54	4.84536589270768	48.0334913386808	12
55	4.51050500307853	47.9933482939377	16
56	6.80551981429259	48.8784738485313	9
57	6.32707437799157	49.142542634819	13
